,Zipcode,City,Lat,Lng,Population,counts
47474,93920,Big Sur,36.08,-121.6,1072,0
47473,94511,Bethel Island,38.07,-121.62,1583,0
47467,94710,Berkeley,37.87,-122.3,5142,0
47466,94709,Berkeley,37.87,-122.26,6899,0
47464,94708,Berkeley,37.9,-122.26,10062,0
47461,94707,Berkeley,37.9,-122.28,11820,0
47458,94706,Albany,37.88,-122.29,15637,0
47457,94705,Berkeley,37.86,-122.24,10879,0
47456,94704,Berkeley,37.86,-122.25,6826,0
47454,94702,Berkeley,37.86,-122.28,12254,0
47453,94701,Berkeley,37.86,-122.27,359,0
47452,95005,Ben Lomond,37.1,-122.08,5137,0
47450,95004,Aromas,36.87,-121.63,3420,0
47390,95476,Sonoma,38.24,-122.46,24893,0
47389,95567,Smith River,41.93,-124.08,1663,0
47388,95473,Sebastopol,38.4,-122.82,1470,0
47293,94129,San Francisco,37.79,-122.46,2542,0
47291,94128,San Francisco,37.61,-122.38,683,0
47290,94127,San Francisco,37.73,-122.45,17250,0
47287,94124,San Francisco,37.73,-122.38,24380,0
47286,94123,San Francisco,37.8,-122.43,19132,0
47285,94122,San Francisco,37.76,-122.48,46850,0
47284,94121,San Francisco,37.77,-122.49,34786,0
47282,94119,San Francisco,37.78,-122.45,1798,0
47281,94118,San Francisco,37.78,-122.46,30630,0
47280,94117,San Francisco,37.76,-122.44,27878,0
47279,94116,San Francisco,37.74,-122.48,37668,0
47278,94115,San Francisco,37.78,-122.43,24064,0
47277,94114,San Francisco,37.75,-122.43,26380,0
47276,94112,San Francisco,37.72,-122.44,64941,0
47275,94111,San Francisco,37.79,-122.39,3905,0
47274,94110,San Francisco,37.74,-122.41,53093,0
47273,94109,San Francisco,37.79,-122.42,38763,0
47271,94107,San Francisco,37.76,-122.39,19741,0
47270,94105,San Francisco,37.78,-122.39,5271,0
47269,94104,San Francisco,37.79,-122.4,1959,0
47267,94102,San Francisco,37.77,-122.41,16733,0
47266,94070,San Carlos,37.49,-122.26,26469,0
47265,94066,San Bruno,37.62,-122.43,35122,0
47264,94979,San Anselmo,37.97,-122.56,493,0
47263,94960,San Anselmo,37.99,-122.58,12561,0
47295,94130,San Francisco,37.81,-122.36,1387,0
47296,94131,San Francisco,37.74,-122.44,22759,0
47297,94132,San Francisco,37.72,-122.48,19425,0
47298,94133,San Francisco,37.8,-122.41,20583,0
47386,95472,Sebastopol,38.4,-122.86,21680,0
47385,95565,Scotia,40.42,-124.01,853,0
47384,94966,Sausalito,37.86,-122.49,831,0
47381,94965,Sausalito,37.84,-122.53,9393,0
47379,95409,Santa Rosa,38.45,-122.59,21790,0
47377,95407,Santa Rosa,38.39,-122.75,26764,0
47376,95406,Santa Rosa,38.45,-122.72,849,0
47375,95405,Santa Rosa,38.43,-122.67,18155,0
47374,95404,Santa Rosa,38.45,-122.68,29799,0
47372,95403,Santa Rosa,38.5,-122.76,33257,0
47371,95402,Santa Rosa,38.47,-122.6,3300,0
47370,95401,Santa Rosa,38.44,-122.78,26704,0
47500,93924,Carmel Valley,36.39,-121.65,5275,0
47368,94915,San Rafael,37.95,-122.5,710,0
47353,94901,San Rafael,37.97,-122.5,33561,0
47347,94404,San Mateo,37.55,-122.26,29611,0
47346,94403,San Mateo,37.54,-122.3,33305,0
47345,94402,San Mateo,37.52,-122.35,21898,0
47344,94401,San Mateo,37.57,-122.32,25273,0
47342,94963,San Geronimo,38.02,-122.63,485,0
47341,94188,San Francisco,37.74,-122.38,787,0
47335,94164,San Francisco,37.78,-122.42,467,0
